id,parameter
SFT-BMS-001,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-001,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-001,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-001,VePWRCTL_CutPwrPercent_enum
SFT-BMS-001,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-001,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-001,LsPWRCTL_BattSOC_pct
SFT-BMS-001,LfPWRCTL_BMSSysI_A
SFT-BMS-001,VlPWRCTL_DchgP_W
SFT-BMS-001,LuPWRCTL_SysMinVol_mV
SFT-BMS-001,LuPWRCTL_SysMinVol_Mv
SFT-BMS-001,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-001,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-001,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-001,KsPWRCTL_ChgMaxT_deg
SFT-BMS-001,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-001,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-002,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-002,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-002,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-002,VePWRCTL_CutPwrPercent_enum
SFT-BMS-002,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-002,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-002,LsPWRCTL_BattSOC_pct
SFT-BMS-002,LfPWRCTL_BMSSysI_A
SFT-BMS-002,VlPWRCTL_DchgP_W
SFT-BMS-002,LuPWRCTL_SysMinVol_mV
SFT-BMS-002,LuPWRCTL_SysMinVol_Mv
SFT-BMS-002,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-002,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-002,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-002,KsPWRCTL_ChgMaxT_deg
SFT-BMS-002,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-002,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-003,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-003,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-003,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-003,VePWRCTL_CutPwrPercent_enum
SFT-BMS-003,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-003,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-003,LsPWRCTL_BattSOC_pct
SFT-BMS-003,LfPWRCTL_BMSSysI_A
SFT-BMS-003,VlPWRCTL_DchgP_W
SFT-BMS-003,LuPWRCTL_SysMinVol_mV
SFT-BMS-003,LuPWRCTL_SysMinVol_Mv
