id,parameter
RC-BMS-001,LsPWRCTL_BMUMinTemp_deg
RC-BMS-001,LsPWRCTL_BMUMinTemp_deg
RC-BMS-001,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-001,VePWRCTL_CutPwrPercent_enum
RC-BMS-001,LsPWRCTL_BMUMinTemp_deg
RC-BMS-001,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-001,LsPWRCTL_BattSOC_pct
RC-BMS-001,LfPWRCTL_BMSSysI_A
RC-BMS-001,VlPWRCTL_ChgP_W
RC-BMS-001,LbFTDC_CellVoltUnder_flg
RC-BMS-001,KuPOWROFF_CellVltOverOff_S
RC-BMS-001,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-001,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-002,LsPWRCTL_BMUMinTemp_deg
RC-BMS-002,LsPWRCTL_BMUMinTemp_deg
RC-BMS-002,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-002,VePWRCTL_CutPwrPercent_enum
RC-BMS-002,LsPWRCTL_BMUMinTemp_deg
RC-BMS-002,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-002,LsPWRCTL_BattSOC_pct
RC-BMS-002,LfPWRCTL_BMSSysI_A
RC-BMS-002,VlPWRCTL_ChgP_W
RC-BMS-002,LbFTDC_CellVoltUnder_flg
RC-BMS-002,KuPOWROFF_CellVltOverOff_S
RC-BMS-002,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-002,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-003,LsPWRCTL_BMUMinTemp_deg
RC-BMS-003,LsPWRCTL_BMUMinTemp_deg
RC-BMS-003,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-003,VePWRCTL_CutPwrPercent_enum
RC-BMS-003,VePWRCTL_CutPwrPercent_enum
RC-BMS-003,VCU_214_VEH_STATE
RC-BMS-003,LsPWRCTL_BMUMinTemp_deg
RC-BMS-003,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-003,LsPWRCTL_BattSOC_pct
RC-BMS-003,LfPWRCTL_BMSSysI_A
RC-BMS-003,VeFCH_ReqChargeCurr_A
RC-BMS-003,LbFTDC_CellVoltUnder_flg
RC-BMS-003,KuPOWROFF_CellVltOverOff_S
RC-BMS-003,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-003,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-004,LsPWRCTL_BMUMinTemp_deg
RC-BMS-004,LsPWRCTL_BMUMinTemp_deg
RC-BMS-004,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-004,VePWRCTL_CutPwrPercent_enum
RC-BMS-004,VePWRCTL_CutPwrPercent_enum
RC-BMS-004,VCU_214_VEH_STATE
RC-BMS-004,LsPWRCTL_BMUMinTemp_deg
RC-BMS-004,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-004,LsPWRCTL_BattSOC_pct
RC-BMS-004,LfPWRCTL_BMSSysI_A
RC-BMS-004,VeFCH_ReqChargeCurr_A
RC-BMS-004,LbFTDC_CellVoltUnder_flg
RC-BMS-004,KuPOWROFF_CellVltOverOff_S
RC-BMS-004,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-004,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-005,LsPWRCTL_BMUMinTemp_deg
RC-BMS-005,LsPWRCTL_BMUMinTemp_deg
RC-BMS-005,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-005,VePWRCTL_CutPwrPercent_enum
RC-BMS-005,LsPWRCTL_BMUMinTemp_deg
RC-BMS-005,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-005,LsPWRCTL_BattSOC_pct
RC-BMS-005,LfPWRCTL_BMSSysI_A
RC-BMS-005,VlPWRCTL_ChgP_W
RC-BMS-005,LbFTDC_CellVltUndrInvld_flg
RC-BMS-005,KuPOWROFF_ChgOff_ms
RC-BMS-005,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-005,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-006,LsPWRCTL_BMUMinTemp_deg
RC-BMS-006,LsPWRCTL_BMUMinTemp_deg
RC-BMS-006,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-006,VePWRCTL_CutPwrPercent_enum
RC-BMS-006,LsPWRCTL_BMUMinTemp_deg
RC-BMS-006,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-006,LsPWRCTL_BattSOC_pct
RC-BMS-006,LfPWRCTL_BMSSysI_A
RC-BMS-006,VlPWRCTL_ChgP_W
RC-BMS-006,LbFTDC_CellVltUndrInvld_flg
RC-BMS-006,KuPOWROFF_ChgOff_ms
RC-BMS-006,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-006,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-007,LsPWRCTL_BMUMinTemp_deg
RC-BMS-007,LsPWRCTL_BMUMinTemp_deg
RC-BMS-007,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-007,VePWRCTL_CutPwrPercent_enum
RC-BMS-007,VePWRCTL_CutPwrPercent_enum
RC-BMS-007,VCU_214_VEH_STATE
RC-BMS-007,LsPWRCTL_BMUMinTemp_deg
RC-BMS-007,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-007,LsPWRCTL_BattSOC_pct
RC-BMS-007,LfPWRCTL_BMSSysI_A
RC-BMS-007,VeFCH_ReqChargeCurr_A
RC-BMS-007,LbFTDC_CellVltUndrInvld_flg
RC-BMS-007,KuPOWROFF_ChgOff_ms
RC-BMS-007,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-007,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-008,LsPWRCTL_BMUMinTemp_deg
RC-BMS-008,LsPWRCTL_BMUMinTemp_deg
RC-BMS-008,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-008,VePWRCTL_CutPwrPercent_enum
RC-BMS-008,VePWRCTL_CutPwrPercent_enum
RC-BMS-008,VCU_214_VEH_STATE
RC-BMS-008,LsPWRCTL_BMUMinTemp_deg
RC-BMS-008,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-008,LsPWRCTL_BattSOC_pct
RC-BMS-008,LfPWRCTL_BMSSysI_A
RC-BMS-008,VeFCH_ReqChargeCurr_A
RC-BMS-008,LbFTDC_CellVltUndrInvld_flg
RC-BMS-008,KuPOWROFF_ChgOff_ms
RC-BMS-008,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-008,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-009,LsPWRCTL_BMUMinTemp_deg
RC-BMS-009,LsPWRCTL_BMUMinTemp_deg
RC-BMS-009,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-009,VePWRCTL_CutPwrPercent_enum
RC-BMS-009,LsPWRCTL_BMUMinTemp_deg
RC-BMS-009,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-009,LsPWRCTL_BattSOC_pct
RC-BMS-009,LfPWRCTL_BMSSysI_A
RC-BMS-009,VlPWRCTL_ChgP_W
RC-BMS-009,LbFTDC_BattInShrt_flg
RC-BMS-009,KuPOWROFF_ChgOff_ms
RC-BMS-009,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-009,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-010,LsPWRCTL_BMUMinTemp_deg
RC-BMS-010,LsPWRCTL_BMUMinTemp_deg
RC-BMS-010,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-010,VePWRCTL_CutPwrPercent_enum
RC-BMS-010,LsPWRCTL_BMUMinTemp_deg
RC-BMS-010,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-010,LsPWRCTL_BattSOC_pct
RC-BMS-010,LfPWRCTL_BMSSysI_A
RC-BMS-010,VlPWRCTL_ChgP_W
RC-BMS-010,LbFTDC_BattInShrt_flg
RC-BMS-010,KuPOWROFF_ChgOff_ms
RC-BMS-010,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-010,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-011,LsPWRCTL_BMUMinTemp_deg
RC-BMS-011,LsPWRCTL_BMUMinTemp_deg
RC-BMS-011,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-011,VePWRCTL_CutPwrPercent_enum
RC-BMS-011,VePWRCTL_CutPwrPercent_enum
RC-BMS-011,VCU_214_VEH_STATE
RC-BMS-011,LsPWRCTL_BMUMinTemp_deg
RC-BMS-011,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-011,LsPWRCTL_BattSOC_pct
RC-BMS-011,LfPWRCTL_BMSSysI_A
RC-BMS-011,VeFCH_ReqChargeCurr_A
RC-BMS-011,LbFTDC_BattInShrt_flg
RC-BMS-011,KuPOWROFF_ChgOff_ms
RC-BMS-011,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-011,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-012,LsPWRCTL_BMUMinTemp_deg
RC-BMS-012,LsPWRCTL_BMUMinTemp_deg
RC-BMS-012,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-012,VePWRCTL_CutPwrPercent_enum
RC-BMS-012,VePWRCTL_CutPwrPercent_enum
RC-BMS-012,VCU_214_VEH_STATE
RC-BMS-012,LsPWRCTL_BMUMinTemp_deg
RC-BMS-012,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-012,LsPWRCTL_BattSOC_pct
RC-BMS-012,LfPWRCTL_BMSSysI_A
RC-BMS-012,VeFCH_ReqChargeCurr_A
RC-BMS-012,LbFTDC_BattInShrt_flg
RC-BMS-012,KuPOWROFF_ChgOff_ms
RC-BMS-012,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-012,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-013,LsPWRCTL_BMUMinTemp_deg
RC-BMS-013,LsPWRCTL_BMUMinTemp_deg
RC-BMS-013,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-013,VePWRCTL_CutPwrPercent_enum
RC-BMS-013,LsPWRCTL_BMUMinTemp_deg
RC-BMS-013,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-013,LsPWRCTL_BattSOC_pct
RC-BMS-013,LfPWRCTL_BMSSysI_A
RC-BMS-013,VlPWRCTL_ChgP_W
RC-BMS-013,LbFTDC_TempOver_flg
RC-BMS-013,KuFTD_BatTmpOvrConTm_S
RC-BMS-013,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-013,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-014,LsPWRCTL_BMUMinTemp_deg
RC-BMS-014,LsPWRCTL_BMUMinTemp_deg
RC-BMS-014,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-014,VePWRCTL_CutPwrPercent_enum
RC-BMS-014,LsPWRCTL_BMUMinTemp_deg
RC-BMS-014,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-014,LsPWRCTL_BattSOC_pct
RC-BMS-014,LfPWRCTL_BMSSysI_A
RC-BMS-014,VlPWRCTL_ChgP_W
RC-BMS-014,LbFTDC_TempOver_flg
RC-BMS-014,KuFTD_BatTmpOvrConTm_S
RC-BMS-014,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-014,VbFTDC_BatSystemFaultLmp_flg
RC-BMS-015,LsPWRCTL_BMUMinTemp_deg
RC-BMS-015,LsPWRCTL_BMUMinTemp_deg
RC-BMS-015,LsPWRCTL_BMUMaxTemp_deg
RC-BMS-015,VePWRCTL_CutPwrPercent_enum
RC-BMS-015,VePWRCTL_CutPwrPercent_enum
RC-BMS-015,VCU_214_VEH_STATE
RC-BMS-015,LsPWRCTL_BMUMinTemp_deg
