id,parameter
FT-BMS-001,FT-BMS-002
FT-BMS-002,FT-BMS-003
FT-BMS-003,FT-BMS-004
FT-BMS-004,FT-BMS-005
FT-BMS-005,LbSOC_TempMaxErr_flg
FT-BMS-005,LbSOC_TempMaxErr_flg
FT-BMS-005,LbSOC_TempMaxErr_flg
FT-BMS-005,LeSOC_TempMaxRaw_degC
FT-BMS-005,KeSOC_CTMaxLim_degC
FT-BMS-005,LbSOC_TempMaxErr_flg
FT-BMS-005,LbSOC_TempMaxErr_flg
FT-BMS-006,LbSOC_TempMaxErr_flg
FT-BMS-006,LbSOC_TempMaxErr_flg
FT-BMS-006,LbSOC_TempMaxErr_flg
FT-BMS-006,LeSOC_TempMaxRaw_degC
FT-BMS-006,KeSOC_CTMaxLim_degC
FT-BMS-006,LbSOC_TempMaxErr_flg
FT-BMS-006,LbSOC_TempMaxErr_flg
FT-BMS-007,LbSOC_TempMaxErr_flg
FT-BMS-007,LbSOC_TempMaxErr_flg
FT-BMS-007,LbSOC_TempMaxErr_flg
FT-BMS-007,LeSOC_TempMaxRaw_degC
FT-BMS-007,KeSOC_CTMinLim_degC
FT-BMS-007,LbSOC_TempMaxErr_flg
FT-BMS-007,LbSOC_TempMaxErr_flg
FT-BMS-008,LbSOC_TempMaxErr_flg
FT-BMS-008,LbSOC_TempMaxErr_flg
FT-BMS-008,LbSOC_TempMaxErr_flg
FT-BMS-008,LeSOC_TempMaxRaw_degC
FT-BMS-008,KeSOC_CTMinLim_degC
FT-BMS-008,LbSOC_TempMaxErr_flg
FT-BMS-008,LbSOC_TempMaxErr_flg
FT-BMS-009,LbSOC_TempMinErr_flg
FT-BMS-009,LbSOC_TempMinErr_flg
FT-BMS-009,LbSOC_TempMinErr_flg
FT-BMS-009,LeSOC_TempMinRaw_degC
FT-BMS-009,KeSOC_CTMaxLim_degC
FT-BMS-009,LbSOC_TempMinErr_flg
FT-BMS-009,LbSOC_TempMinErr_flg
FT-BMS-010,LbSOC_TempMinErr_flg
FT-BMS-010,LbSOC_TempMinErr_flg
FT-BMS-010,LbSOC_TempMinErr_flg
FT-BMS-010,LeSOC_TempMinRaw_degC
FT-BMS-010,KeSOC_CTMaxLim_degC
FT-BMS-010,LbSOC_TempMinErr_flg
FT-BMS-010,LbSOC_TempMinErr_flg
FT-BMS-011,LbSOC_TempMinErr_flg
FT-BMS-011,LbSOC_TempMinErr_flg
FT-BMS-011,LbSOC_TempMinErr_flg
FT-BMS-011,LeSOC_TempMinRaw_degC
FT-BMS-011,KeSOC_CTMinLim_degC
FT-BMS-011,LbSOC_TempMinErr_flg
FT-BMS-011,LbSOC_TempMinErr_flg
FT-BMS-012,LbSOC_TempMinErr_flg
FT-BMS-012,LbSOC_TempMinErr_flg
FT-BMS-012,LbSOC_TempMinErr_flg
FT-BMS-012,LeSOC_TempMinRaw_degC
FT-BMS-012,KeSOC_CTMinLim_degC
FT-BMS-012,LbSOC_TempMinErr_flg
FT-BMS-012,LbSOC_TempMinErr_flg
FT-BMS-013,LbSOC_CVMaxErr_flg
FT-BMS-013,LbSOC_CVMaxErr_flg
FT-BMS-013,LbSOC_CVMaxErr_flg
FT-BMS-013,LuSOC_CVMaxRaw_V
FT-BMS-013,KuSOC_CVMaxLim_V
FT-BMS-013,LbSOC_CVMaxErr_flg
FT-BMS-013,LbSOC_CVMaxErr_flg
FT-BMS-014,LbSOC_CVMaxErr_flg
FT-BMS-014,LbSOC_CVMaxErr_flg
FT-BMS-014,LbSOC_CVMaxErr_flg
FT-BMS-014,LuSOC_CVMaxRaw_V
FT-BMS-014,KuSOC_CVMaxLim_V
FT-BMS-014,LbSOC_CVMaxErr_flg
FT-BMS-014,LbSOC_CVMaxErr_flg
FT-BMS-015,LbSOC_CVMaxErr_flg
FT-BMS-015,LbSOC_CVMaxErr_flg
FT-BMS-015,LbSOC_CVMaxErr_flg
FT-BMS-015,LuSOC_CVMaxRaw_V
FT-BMS-015,KuSOC_CVMinLim_V
FT-BMS-015,LbSOC_CVMaxErr_flg
FT-BMS-015,LbSOC_CVMaxErr_flg
FT-BMS-016,LbSOC_CVMaxErr_flg
FT-BMS-016,LbSOC_CVMaxErr_flg
FT-BMS-016,LbSOC_CVMaxErr_flg
FT-BMS-016,LuSOC_CVMaxRaw_V
FT-BMS-016,KuSOC_CVMinLim_V
FT-BMS-016,LbSOC_CVMaxErr_flg
FT-BMS-016,LbSOC_CVMaxErr_flg
FT-BMS-017,LbSOC_CVMinErr_flg
FT-BMS-017,LbSOC_CVMinErr_flg
FT-BMS-017,LbSOC_CVMinErr_flg
FT-BMS-017,LuSOC_CVMinRaw_V
FT-BMS-017,KuSOC_CVMaxLim_V
FT-BMS-017,LbSOC_CVMinErr_flg
FT-BMS-017,LbSOC_CVMinErr_flg
FT-BMS-018,LbSOC_CVMaxErr_flg
FT-BMS-018,LbSOC_CVMaxErr_flg
FT-BMS-018,LbSOC_CVMinErr_flg
FT-BMS-018,LbSOC_CVMinErr_flg
FT-BMS-018,LuSOC_CVMinRaw_V
FT-BMS-018,KuSOC_CVMaxLim_V
FT-BMS-018,LbSOC_CVMaxErr_flg
FT-BMS-018,LbSOC_CVMinErr_flg
FT-BMS-019,LbSOC_CVMinErr_flg
FT-BMS-019,LbSOC_CVMinErr_flg
FT-BMS-019,LbSOC_CVMinErr_flg
FT-BMS-019,LuSOC_CVMinRaw_V
FT-BMS-019,KuSOC_CVMinLim_V
FT-BMS-019,LbSOC_CVMaxErr_flg
FT-BMS-019,LbSOC_CVMinErr_flg
FT-BMS-020,LbSOC_CVMinErr_flg
FT-BMS-020,LbSOC_CVMinErr_flg
FT-BMS-020,LbSOC_CVMinErr_flg
FT-BMS-020,LuSOC_CVMinRaw_V
FT-BMS-020,KuSOC_CVMinLim_V
FT-BMS-020,LbSOC_CVMaxErr_flg
FT-BMS-020,LbSOC_CVMinErr_flg
FT-BMS-021,LbSOC_DispSOCSETErr_flg
FT-BMS-021,LbSOC_DispSOCSETErr_flg
FT-BMS-021,LbSOC_DispSOCSETErr_flg
FT-BMS-021,LuSOC_DispSOCSETraw_pct
FT-BMS-021,KuSOC_DispSOCSETMax_pct
FT-BMS-021,LbSOC_DispSOCSETErr_flg
FT-BMS-021,LbSOC_DispSOCSETErr_flg
FT-BMS-022,LbSOC_DispSOCSETErr_flg
FT-BMS-022,LbSOC_DispSOCSETErr_flg
FT-BMS-022,LbSOC_DispSOCSETErr_flg
FT-BMS-022,LuSOC_DispSOCSETraw_pct
FT-BMS-022,KuSOC_DispSOCSETMax_pct
FT-BMS-022,LbSOC_DispSOCSETErr_flg
FT-BMS-022,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LuSOC_DispSOCSETraw_pct
FT-BMS-023,KuSOC_DispSOCSETMin_pct
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-023,LbSOC_DispSOCSETErr_flg
FT-BMS-024,LbSOC_DispSOCSETErr_flg
